fldName,fldDiscoveryYear,percentageProducedOil,percentageProducedGas,percentageProducedOE
TUNE,1995,105.9,104.8,104.9
COD,1968,100.0,100.0,100.0
TOR,1970,100.0,100.0,100.0
VEST EKOFISK,1970,100.0,100.0,100.0
FRIGG,1971,,100.0,100.0
ALBUSKJELL,1972,100.0,100.0,100.0
EDDA,1972,100.0,100.0,100.0
ØST FRIGG,1973,,100.0,100.0
NORDØST FRIGG,1974,,100.0,100.0
ODIN,1974,,100.0,100.0
LILLE-FRIGG,1975,100.0,100.0,100.0
MURCHISON,1975,100.0,100.0,100.0
TOMMELITEN GAMMA,1978,100.0,100.0,100.0
HULDRA,1982,100.0,100.0,100.0
MIME,1982,100.0,100.0,100.0
VARG,1984,100.0,100.0,100.0
FRØY,1987,100.0,100.0,100.0
YME,1987,100.0,,100.0
VOLVE,1993,100.0,100.0,100.0
JOTUN,1994,100.0,100.0,100.0
GLITNE,1995,100.0,,100.0
TAMBAR ØST,2007,100.0,,100.0
YTTERGRYTA,2007,100.0,100.0,100.0
ISLAY,2008,,100.0,100.0
JETTE,2009,100.0,,100.0
SLEIPNER ØST,1981,50.0,99.6,99.7
GYDA,1980,99.7,98.4,99.6
HEIMDAL,1972,98.5,98.7,98.7
REV,2001,87.5,100.0,97.3
STATFJORD,1974,99.0,87.8,96.7
GUNGNE,1982,66.7,96.8,96.3
GULLFAKS,1978,95.8,100.0,96.0
DRAUGEN,1984,95.8,100.0,95.8
STATFJORD ØST,1976,97.9,100.0,95.4
NORNE,1992,97.8,70.6,94.5
VESLEFRIKK,1981,98.0,60.7,94.0
SKIRNE,1990,87.0,95.3,93.8
HOD,1974,96.0,94.4,93.2
SLEIPNER VEST,1974,51.1,92.8,93.0
BRAGE,1980,93.1,84.1,92.8
TAMBAR,1983,95.2,95.5,91.4
GIMLE,2004,93.5,81.8,91.3
SYGNA,1996,91.2,,91.2
STATFJORD NORD,1977,90.9,109.1,90.9
TORDIS,1987,89.3,89.6,89.0
ULA,1976,88.0,100.0,88.3
ATLA,2010,66.7,92.9,88.2
TRYM,1990,93.3,85.3,87.8
BLANE,1989,87.5,,87.5
BALDER,1967,87.3,80.0,87.1
EKOFISK,1969,85.4,91.4,86.6
SIGYN,1982,25.0,87.5,86.5
VIGDIS,1986,86.1,100.0,86.4
ELDFISK,1970,82.4,93.5,85.2
KRISTIN,1997,87.0,81.7,85.0
BRYNHILD,1992,83.3,,83.3
VILJE,2003,79.2,,82.6
OSEBERG,1979,93.8,38.5,81.1
EMBLA,1988,91.7,61.8,81.0
ÅSGARD,1981,89.1,76.3,80.5
RINGHORNE ØST,2003,80.8,66.7,80.5
VALHALL,1975,79.6,80.3,79.1
URD,2000,77.5,100.0,78.3
SNORRE,1979,75.2,95.5,76.3
FRAM,1990,86.1,43.8,75.3
GAUPE,1985,50.0,100.0,75.0
OSEBERG ØST,1981,75.3,75.0,74.8
GRANE,1991,74.0,,74.0
MORVIN,2001,78.9,67.4,73.3
ALVE,1990,80.0,70.1,72.5
HEIDRUN,1985,83.3,35.9,72.3
OSEBERG SØR,1984,80.6,51.4,72.2
OSELVAR,1991,66.7,80.0,71.4
VALE,1991,77.8,65.5,71.4
FRAM H-NORD,2007,71.4,,71.4
KVITEBJØRN,1994,77.8,69.1,68.0
VOLUND,1994,67.4,66.7,67.4
ENOCH,1985,66.7,,66.7
MARULK,1992,80.0,63.2,64.7
ALVHEIM,1998,68.4,43.7,64.2
GULLFAKS SØR,1978,81.2,55.0,63.8
MIKKEL,1987,66.2,60.2,62.2
GJØA,1989,81.5,56.7,61.7
NJORD,1986,84.0,43.6,61.3
ORMEN LANGE,1997,,58.5,58.8
SKULD,2008,56.1,75.0,58.7
GUDRUN,1975,56.7,49.4,54.0
VISUND SØR,2008,71.4,46.7,53.9
HYME,2009,58.1,33.3,50.1
TROLL,1979,90.2,40.0,48.3
SVALIN,1992,46.2,,46.2
VEGA,1981,58.2,42.6,44.6
KNARR,2008,41.4,66.7,43.7
BØYLA,2009,41.2,50.0,41.7
VISUND,1986,78.3,21.4,40.5
SKARV,1998,57.1,32.9,39.4
TYRIHANS,1983,77.0,14.6,38.4
VALEMON,1985,36.8,25.9,25.5
SNØHVIT,1984,,18.5,19.6
EDVARD GRIEG,2007,14.8,12.0,14.0
GOLIAT,2000,9.7,,9.7
IVAR AASEN,2008,0.4,0.0,0.3
FLYNDRE,1974,0.0,,0.0
GINA KROG,1978,0.0,0.0,0.0
MARTIN LINGE,1978,0.0,0.0,0.0
UTGARD,1982,0.0,0.0,0.0
AASTA HANSTEEN,1997,,0.0,0.0
HANZ,1997,0.0,0.0,0.0
BYRDING,2005,0.0,,0.0
JOHAN SVERDRUP,2010,0.0,0.0,0.0
MARIA,2010,0.0,0.0,0.0
