Date,1960,1970,1980,1990,2000,2010,Sum
1972,1.92703,0,0,0,0,0,1.92703
1973,1.86953,0,0,0,0,0,1.86953
1974,2.01417,0,0,0,0,0,2.01417
1975,10.9954,0,0,0,0,0,10.9954
1976,16.2268,0,0,0,0,0,16.2268
1977,17.3353,1.96446,0,0,0,0,19.2998
1978,20.6588,14.207,0,0,0,0,34.8659
1979,20.1168,24.2025,0,0,0,0,44.3193
1980,19.987,35.8108,0,0,0,0,55.7977
1981,17.6472,37.0051,0,0,0,0,54.6523
1982,16.7486,38.0689,0,0,0,0,54.8174
1983,16.4482,45.531,0,0,0,0,61.9792
1984,16.0212,53.7406,0,0,0,0,69.7618
1985,13.9293,60.0575,0,0,0,0,73.9868
1986,8.86543,69.9019,0,0,0,0,78.7673
1987,9.02436,80.2568,0,0,0,0,89.2812
1988,10.7529,87.1926,0,0,0,0,97.9455
1989,13.1989,106.473,0,0,0,0,119.672
1990,14.0821,106.098,4.90129,0,0,0,125.082
1991,14.8766,115.781,7.83393,0,0,0,138.492
1992,16.0677,129.954,8.82421,0,0,0,154.846
1993,14.5172,135.425,12.6976,0,0,0,162.64
1994,15.9171,135.726,31.0059,0,0,0,182.649
1995,19.1562,134.221,42.3321,0,0,0,195.709
1996,19.7926,145.313,59.7306,0.0792,0,0,224.916
1997,20.2509,149.614,62.0282,0.41527,0,0,232.308
1998,18.8877,137.88,62.2922,6.3157,0,0,225.376
1999,18.4242,131.098,70.9627,9.1806,0,0,229.665
2000,24.25,122.814,78.0076,18.5412,0,0,243.613
2001,23.853,119.607,86.4794,21.5717,0,0,251.511
2002,24.0169,123.026,93.3734,17.9483,0,0,258.365
2003,24.4655,120.844,95.0696,21.3262,0,0,261.705
2004,25.9621,117.258,92.5545,28.4585,0,0,264.234
2005,26.201,110.258,86.9,33.7898,0.58832,0,257.737
2006,25.6305,100.978,77.4937,42.0958,3.36901,0,249.567
2007,21.805,99.3773,76.3954,37.6809,3.08246,0,238.341
2008,19.4224,91.8446,75.0889,53.5718,3.71026,0,243.638
2009,17.0265,76.1745,73.7839,68.4005,5.36134,0,240.747
2010,14.1653,76.7129,70.4493,63.9318,6.05456,0,231.314
2011,12.3341,65.0962,73.6649,62.5459,6.01713,0,219.658
2012,10.8514,75.438,72.4274,60.8354,6.6437,0.08487,226.281
2013,9.4073,71.1435,65.2454,60.5658,8.88121,0.14695,215.39
2014,10.5272,72.4141,65.5742,60.8208,8.80904,0.27714,218.422
2015,10.3147,83.4543,69.1688,56.8913,10.0158,0.34247,230.187
2016,9.95351,85.2761,66.6041,53.7617,16.5723,0.5457,232.714
