prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
KNARR,2015,3,0.01597,0.00152,0.00000,0.00000,0.01749,0.00000,20460988
KNARR,2015,4,0.07535,0.01158,0.00000,0.00000,0.08692,0.00000,20460988
KNARR,2015,5,0.09639,0.01100,0.00000,0.00000,0.10739,0.00000,20460988
KNARR,2015,6,0.11174,0.01300,0.00000,0.00000,0.12474,0.00000,20460988
KNARR,2015,7,0.13836,0.00088,0.00155,0.00000,0.14078,0.00000,20460988
KNARR,2015,8,0.09951,0.00319,0.00670,0.00000,0.10940,0.00000,20460988
KNARR,2015,9,0.16574,0.00618,0.01241,0.00000,0.18433,0.00000,20460988
KNARR,2015,10,0.20741,0.00894,0.02805,0.00000,0.24440,0.00000,20460988
KNARR,2015,11,0.23396,0.01230,0.04119,0.00000,0.28746,0.00000,20460988
KNARR,2015,12,0.20192,0.00938,0.03229,0.00000,0.24359,0.00000,20460988
KNARR,2016,1,0.17151,0.00869,0.03084,0.00000,0.21104,0.00000,20460988
KNARR,2016,2,0.14763,0.00709,0.02578,0.00000,0.18049,0.00000,20460988
KNARR,2016,3,0.20087,0.00988,0.03286,0.00000,0.24361,0.00000,20460988
KNARR,2016,4,0.20083,0.01011,0.03417,0.00000,0.24510,0.00000,20460988
KNARR,2016,5,0.17852,0.00886,0.03171,0.00000,0.21909,0.00000,20460988
KNARR,2016,6,0.23955,0.01167,0.04646,0.00000,0.29768,0.00000,20460988
KNARR,2016,7,0.26712,0.01339,0.04666,0.00000,0.32717,0.00000,20460988
KNARR,2016,8,0.29997,0.01575,0.05348,0.00000,0.36921,0.00000,20460988
KNARR,2016,9,0.21762,0.01255,0.03091,0.00000,0.26108,0.00000,20460988
KNARR,2016,10,0.27226,0.01420,0.04813,0.00000,0.33459,0.00000,20460988
KNARR,2016,11,0.26327,0.01426,0.04743,0.00000,0.32497,0.00000,20460988
KNARR,2016,12,0.27719,0.01513,0.05113,0.00000,0.34345,0.00000,20460988
KNARR,2017,1,0.28692,0.01391,0.04491,0.00000,0.34573,0.04945,20460988
KNARR,2017,2,0.19110,0.00998,0.03368,0.00000,0.23476,0.04701,20460988
KNARR,2017,3,0.28687,0.01355,0.04737,0.00000,0.34779,0.06714,20460988
